websiteURL,mission,charityName,ein,rating,category,city,postalCode,streetAddress
http://www.bgcc.org/,"Incorporated in 1902, the Boys & Girls Clubs of Chicago (BGCC) works to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens. BGCC serves more than 13,840 young people per year after school, and during the summer through 32 Clubs and three child care locations throughout the Chicago area. Boys & Girls Clubs provides a safe environment for young people to have fun and learn. Each Club is supervised by caring and trained professionals who engage kids in more than 200 activities each year.",Boys & Girls Clubs of Chicago,362166997,3,Human Services,Chicago,60612,2102 West Monroe Street
http://www.thebrf.org/,"The Brain Research Foundation, founded in 1953, supports neuroscience research that leads to advanced understanding of brain function in children and adults. This Foundation is committed to advance discoveries that will lead to novel treatments and prevention of all neurological diseases. They deliver this commitment through both research grant programs, which provide initial funding for innovative research projects, as well as educational programs for researchers and the general public.",Brain Research Foundation,362477928,3,Health,Chicago,60602,111 West Washington Street
http://www.breakthrough.org,"Breakthrough partners with those affected by poverty to build connections, develop skills and open doors of opportunity.",Breakthrough,363810926,4,Human Services,Chicago,60624,402 N. St. Louis Avenue
http://www.bridgecommunities.org,"Bridge Communities is a dynamic, grassroots organization committed to transforming the lives of homeless families through partnering with talented, resourceful individuals and groups in our community. Our program of housing, mentoring and empowering families focuses on moving them towards a goal of self sufficiency. Since its founding in 1988 Bridge Communities has become a regional and national leader in the service to homeless families, as well as the surrounding issues that lead to homelessness, such as lack of affordable housing and well-paid labor jobs. Bridge Communities has counseled and mentored many non-profits, churches and lay-person organizations on establishing a transitional housing program based on our innovative model.",Bridge Communities,363705951,4,Human Services | Human and Civil Rights,Glen Ellyn,60137,505 Crescent Boulevard
http://www.brighthope.org,"Founded in 1968, Bright Hope serves the extreme poor - those living on less than $1 a day. Bright Hope envisions a world where under-resourced, indigenous churches transform their communities and bring Hope to the extreme poor. Their efforts include a holistic program with physical aid, economic development and spiritual growth in each of their partnerships in Africa, Asia and Latin America. This aspect of their ministry is called Hope for today, tomorrow and eternity. The following are types of assistance and support, depending on the needs of the local partners: disaster, crisis and refugee response; healthcare; food and water; education; orphan and vulnerable children care; job creation; micro-enterprise; infrastructure; agriculture programs; church planting; evangelism and church leadership development.",Bright Hope International,237004991,3,Religion | Human Services,Hoffman Estates,60169,2060 Stonington Avenue
https://www.brightpink.org/,"Bright Pink is on a mission to save lives from breast and ovarian cancer by empowering women to know their risk and live proactively.<br><br>We focus on health, not cancer, to inspire women to practice prevention. Our innovative programs, strategic initiatives and powerful partnerships directly reach women in their daily lives and healthcare providers in their daily practice.<br><br>By educating women as well as their healthcare providers, we're fostering a supportive healthcare relationship where informed women have proactive conversations with trusted providers on a regular basis. Our unique mix of digital and in-person tactics drives exponential health behavior change.",Bright Pink,510619889,3,Health,Chicago,60654,670 N. Clark Street
https://www.bpncchicago.org/,"Brighton Park Neighborhood Council (BPNC) is a community-based, grassroots organization on Chicago's southwest side, a predominantly latinx and immigrant community. We work to empower our community and build its capacity by providing school and community-based services and programs. BPNC also engages leaders in social justice organizing campaigns. We work to win change at the local, state, and federal levels. BPNC believes in addressing the holistic needs of the community and the root causes of poverty and inequity through a racial justice lens.",Brighton Park Neighborhood Council,364229387,4,Community Development,Chicago,60632,4477 South Archer Avenue
http://buildchicago.org/,"For over 45 years, BUILD has worked in some of Chicago's toughest neighborhoods to stem the violence that takes away the positive potential - and, far too often, the very lives - of our youth. In 1969, BUILD started working with fewer than 200 gang-affiliated teens in one neighborhood and today BUILD serves nearly 3,000 youth annually, offering targeted services to enhance our impact in four priority communities - Austin, East Garfield Park, Humboldt Park and Logan Square - while continuing to provide support in other Chicago neighborhoods and throughout Cook County. <br><br>BUILD's programs are designed to meet both the immediate problem of preventing at-risk youth from joining gangs as well as working with gang-involved youth to develop alternatives to this destructive lifestyle. Our service population also includes youth who have come in contact with the justice system to prevent and/or provide alternatives to detention and assist with successful re-entry into their communities.","BUILD, Inc.",237022085,4,Human Services,Chicago,60644,5100 West Harrison
http://www.cgla.net/,"Cabrini-Green Legal Aid exists to answer God's call to seek justice and mercy for those living in poverty by providing legal services that strengthen lives, families and communities. We believe that justice is more than a verdict. It's an opportunity to build bridges and strengthen lives. Our vision is for our clients to leave us stronger than they came. We seek to plant and nurture seeds of reconciliation, compassion and the desire to serve. We are committed to personal and corporate integrity, zealous advocacy, seeing people as children of God, made in God's image, and will treat them accordingly, serving the whole person, and deep involvement with our community.",Cabrini-Green Legal Aid,362775706,3,Human and Civil Rights,Chicago,60603,6 South Clark Street
https://www.calsangels.org/,"Cal's Angels is a 501(c)(3) pediatric cancer foundation established in 2007 in memory of Cal Sutter, a 12-year-old who lost his battle with leukemia in 2006. Cal's kindness and generosity inspired the start of Cal's Angels. We provide financial assistance to pediatric cancer patients and their families and fund pediatric cancer research. Our mission centers on granting wishes, raising awareness and funding research to help kids fighting cancer.",Cal's All Star Angel Foundation Inc.,208811843,4,Health,Saint Charles,60175,2422 W. Main Street
http://www.cta-usa.org,"Call to Action (CTA) is a Catholic movement working for equality and justice in the Church and society. An independent national organization of over 25,000 people and 53 local chapters, CTA believes that the Spirit of God is at work in the whole church, not just in its appointed leaders. The entire Catholic Church has the obligation of responding to the needs of the world and taking initiative in programs of peace and justice. CTA promotes its vision of a progressive, engaged Catholicism through its acclaimed annual conferences, award-winning publications, extensive network of regional groups and joint programs with other Catholic renewal organizations.",Call to Action,363003308,2,Religion,Chicago,60618,2135 West Roscoe Street
http://www.cancerwellness.org,"The Cancer Wellness Center was founded in 1989 to help people live better while living with cancer. We help people feel more connected by becoming part of a comfortable community of people who understand, because they are going through it too. We deal with the very real emotional issues that cancer can cause by offering trained, experienced counseling and support. We nurture mind, body and spirit with programs that offer simple exercises, stress relief, healthy diets, relaxing activities, and meaningful conversations. In addition, we offer an extensive library of resources and involve discussions with other participants.",Cancer Wellness Center,363604463,3,Health,Northbrook,60062,215 Revere Drive
http://carenetdupage.com/,"Founded in 1981, CareNet Pregnancy Services of Dupage works to serve Jesus Christ by working to prevent unplanned pregnancies and by providing emotional support, spiritual counsel, and practical help to anyone dealing with the effects of an unplanned pregnancy. We work with young people, equipping them to make choices to avoid sexual activity and pregnancy, so that they can have the best future and fulfill their goals and dreams. We reach out to men and women who have an abortion in their past and are caught in a web of despair and grief. We seek to make an everlasting difference in the lives of women and their families by bringing them to saving faith.",Caring Network NFP,363154700,2,Human Services,Glen Ellyn,60137,1200 Roosevelt Road
https://www.carpls.org/,"Established in 1993, CARPLS is an innovative legal aid service that offers an immediate response to the everyday problems confronting low- and moderate-income residents of Cook County, IL. CARPLS' free hotline and court-based advice desks give individuals direct access to experienced attorneys who are trained to quickly assess and respond to a wide range of civil legal problems. CARPLS attorneys resolve over 85% of all cases in-house by providing information, advice and brief services including the preparation and review of legal documents. CARPLS' unique \""legal triage\"" system serves as a model for legal aid communities across the country and has increased access to justice by dramatically reducing the cost of legal aid services to the poor.",CARPLS,363863573,4,Human and Civil Rights,Chicago,60602,17 North State Street
http://www.economicprogress.org/,"Established in 1990, the Center for Economic Progress helps hard-working, low-income families move from financial uncertainty to financial security. Local in service but national in voice, we achieve our mission in three ways: we provide trusted tax and financial counseling, giving Illinois families the tools to make sound choices; we lead a national coalition of organizations that promote economic progress for low-wage workers and their families; and we advance policies and practices to create a financial system that works for all.",Center for Economic Progress,363693728,2,Human Services,Chicago,60661,567 West Lake Street
http://www.cnt.org,"Founded in 1978, the Center for Neighborhood Technology (CNT) is a leader in promoting more livable and sustainable urban communities. As a creative think-and-do-tank, we research, invent, and test urban strategies that use resources more efficiently and more equitably. Over the years, CNT's work - especially in the areas of climate, energy, natural resources, transportation, and community development - has paid off by fueling a generation of community development and learning institutions, earning CNT a reputation as an economic innovator and leader in the field of creative sustainable development. CNT launched two non-profits that advance our mission: CNT Energy (now Elevate Energy) develops and implements initiatives to help consumers and communities control energy costs and reduce energy use; and I-GO, a membership-based car sharing organization.",Center for Neighborhood Technology,362967283,2,Environment,Chicago,60602,17 North State Street #1400
http://www.centeronhalsted.org,"Chicago has long been the center of the lesbian, gay, bisexual and transgender (LGBT) community in the greater Midwest, and in 2001 a dedicated group of community leaders came together and shared a vision to create a united front and a focal point for this burgeoning community. Through their vision and dedication, Center on Halsted became a reality in 2007, bringing a wide array of LGBT organizations and resources in the city together to collaborate, share resources and extend their reach. As the most comprehensive LGBT community center in the Midwest, our mission is simple: In a safe and nurturing environment, the Center on Halsted serves as a catalyst for the LGBT community that links and provides community resources and enriches life experiences.",Center on Halsted,510178807,4,Human and Civil Rights,Chicago,60613,3656 North Halsted
http://www.centralilfoodbank.org/,"The purpose of Central Illinois Foodbank is to collect donated food and grocery items from growers, manufacturers, processors, and wholesalers for distribution to charitable agencies serving people in need. Central Illinois Foodbank is a warehouse located in Springfield, IL. Our food distribution program serves 150 agencies throughout 21 central Illinois counties. In addition to our partnership with our agencies, we are proud to host the Kids Cafe program. Kids Cafe is a nation-wide program through Feeding America, formerly America's Second Harvest, that feeds children a hot, nutritious meal in a safe environment.",Central Illinois Foodbank,371106465,4,Human Services,Springfield,62703,1937 East Cook Street
http://www.cuhumane.org,"The Champaign County Humane Society (CCHS) was established as a branch of the Illinois Humane Society in 1889 and chartered as the Champaign County Humane Society in 1903. In 1951, a diverse group of local citizens who cared deeply about animals gathered together to establish our first animal shelter near Bondville, Illinois, and in June of 1988 we moved into our current shelter in Urbana. We are an open admission shelter and accept all animals in need, regardless of age, physical condition or adoptability. Each year, CCHS cares for over 2,000 homeless pets through a comprehensive animal welfare program.",Champaign County Humane Society,370714217,3,Animals,Urbana,61802,1911 East Main Street
http://chestfoundation.org/,"The CHEST Foundation, the American College of Chest Physician's charitable foundation, champions lung health by supporting clinical research, community service, and patient education. Through CHEST Foundation-supported programs, CHEST's 19,000+ members engage in advancing the lung health of millions of patients in local communities around the world. More than 95 cents of every dollar raised goes toward advancing our mission-based programming. Since our inception, we've provided more than $10 million in funding for clinical research and community service, with a reach that spans over more than 60 countries.",CHEST Foundation,363286520,3,Health,Glenview,60026,2595 Patriot Boulevard
http://www.naturemuseum.org/,"The mission of the Chicago Academy of Sciences / Peggy Notebaert Nature Museum is to create a positive relationship between people and nature through collaborations, education, research and collections, exhibitions, and public forums to grow our region's urban connection to the world of nature and science.",Chicago Academy of Sciences / Peggy Notebaert Nature Museum,360895575,3,"Arts, Culture, Humanities",Chicago,60614,2430 North Cannon Drive
http://capechicago.org,"Founded in 1992, Chicago Arts Partnerships in Education (CAPE)'s mission is to increase students' academic success, critical thinking and creativity through research-based, arts driven education. <br><br>CAPE inspires students' passion for learning by weaving visual and performing arts into their classroom lessons. To bring academic subjects to life through art, CAPE partners teaching artists with Chicago Public School teachers to develop original, creative lesson plans. These lessons integrate music, dance, drama, digital art, video and photography into classrooms, and expand learning beyond school walls and into the community<br><br>CAPE's unique approach to enhancing education with the arts better engages students, improves their understanding of class material, and boosts their grades. CAPE commissions rigorous, long-term research studies that show that integrating art into education continually improves students' critical thinking, self esteem, and confidence.",Chicago Arts Partnerships in Education,363969334,3,Education,Chicago,60604,228 South Wabash Avenue
http://chicagobarfoundation.org/,"The Chicago Bar Foundation (CBF) mobilizes our legal community around a cause that is a distinctive responsibility of our profession: ensuring that everyone in the Chicago metropolitan area has equal access to justice, particularly the low-income and disadvantaged people who are in most critical need of the protections of the legal system. Through grants, advocacy, pro bono and partnerships, the CBF takes a system-wide approach to improving access to justice and focuses on those objectives that are best achieved by the legal community working together.",Chicago Bar Foundation,366109584,3,Human and Civil Rights,Chicago,60604,321 South Plymouth Court
http://www.chicagobotanic.org,"The mission of the Chicago Botanic Garden is to promote the enjoyment, understanding and conservation of plants and the natural world. The 385-acre Garden features 23 display gardens and three native habitats, uniquely situated on nine islands surrounded by lakes. With the groundbreaking for the Garden in 1965 and its opening in 1972, a permanent site on which to carry out its mission was created. The mission encompasses three important components: collections, education and research. The Chicago Botanic Garden, with its world-renowned plant collections and displays, is one of the country's most visited public gardens and a preeminent center for learning and scientific research.",Chicago Botanic Garden,362225482,3,Environment,Glencoe,60022,1000 Lake Cook Road
http://www.chicagocares.org,Chicago Cares creates volunteer experiences that connect people and communities to meet critical needs and build a stronger Chicago.,Chicago Cares,363777709,4,Community Development,Chicago,60606,2 North Riverside
